"","team_id","name","tag"
"1276",3210464,"KISS GAMING","Kiss"
"1277",3354310,"CQDU.FeS","CQDU.FeS"
"1278",1272762,"Besito Avenger","B.A"
"1279",2897892,"Alpha Pro Gaming","AlphaPro"
"1280",2767412,"Vivo Fibra Keyd Stars","kStars"
"1281",3351387,"WOOF","WOOF"
"1282",3457201,"Team EnvyUS","EV"
"1283",3410388,"Nightmare Gaming","NG"
"1284",1721057,"Return Of Legend","Ro[f]L"
"1285",1633432,"Not Today !","NoT"
"1286",3213348,"Sentry","PM"
"1287",3847866,"Ha-rmape","Rj"
"1288",2882054,"Contract Killerz","CK"
"1289",1302405,"Vast Cast","VC"
"1290",3706211,"BoRe","BoRe"
"1291",2019384,"[Flip.Sid3 Tactics]","[F.3]"
"1292",3659536,"Clutch Gamers","CG"
"1293",12388,"The awesome RedTeam","Team Red"
"1294",3316534,"Scapegoat.esports","SGE"
"1295",3023818,"Team FuroX","FuroX"
"1296",3290820,"Mashmellow","GeS"
"1297",2683062,"Team Debarred","DBD"
"1298",2931260,"Injoker Boys","IB"
"1299",1977983,"RaoPing",""
"1300",543897,"Mineski.GGNetwork","Mski"
"1301",525403,"YANELOS AKMOLOS","YA"
"1302",3153135,"INFINITY GAMING","IG"
"1303",1995288,"Rote Konig","RK"
"1304",3326357,"Wreacks","WRC"
"1305",2666297,"BALROGS E-SPORT.US","Balrogs"
"1306",3760907,"Duckter Strange","DS"
"1307",2603640,"Zero Navigation"," zN`"
"1308",1251755,"March of Masick","Sick"
"1309",3214090,"HIPPOMANIACS","hm"
"1310",1449413,"COOKISS",""
"1311",2320414,"DK.Scuderia","DK.S"
"1312",1055544,"Hehe United","hehe"
"1313",2537636,"Elements Pro Gaming","EPG"
"1314",2018688,"H TYPE STEEL","HTS"
"1315",3658537,"LGDR","bekasi"
"1316",2890843,"G-Sixty Nine","G69"
"1317",1724816,"Eury.nomos","Eury"
"1318",2831312,"qwewqeqw",""
"1319",2887699,"Skatemasters","$katers"
"1320",1412659,"Mum I Need Tangoes!","Mint"
"1321",1748111,"Duza Gaming.","Duza"
"1322",2648840,"SPARTANUZ","sPS"
"1323",1730778,"Avernus.ir","Avernus"
"1324",485526,"Life.","Life"
"1325",2244697,"Team Archon","Archon"
"1326",3313149,"AnimalGamers","AG"
"1327",1286591,"Helvete Tot Morgen","HTM"
"1328",2700723,"[GLHF]","Team "
"1329",2548387,"Inverse reburn","Ivs"
"1330",2341834,"ABRAXAS.","ABX"
"1331",41001,"Neverflat empireZ","NZ"
"1332",1520064,"wearebug","WAB"
"1333",2005386,"FiveFreshFishes","FFF"
"1334",3688649,"eL Moke-","eL"
"1335",2290006,"TwistedFuzion","TFz"
"1336",3350919,"AliceSnow","Alice"
"1337",2047411,"BRUTALATOR","BRUTALATOR"
"1338",2824248,"Animus Vox Team","AVT"
"1339",3549974,"Power Of Iron Branch","PiB"
"1340",3264863,"WINGSHADOW","WSW"
"1341",2626685,"EHOME.KEEN","EHOME.K"
"1342",2217730,"Kingdom DotA~","Kingdom"
"1343",2888789,"KNS",""
"1344",3903609,"Timun Gaming","TG"
"1345",2812464,"Jukes On YouU","JoY"
"1346",2098192,"-ParadoxGaming","Paradox"
"1347",1298032,"Decoros Forma","Deform"
"1348",1150632,"Garuda Infinity","G[8]"
"1349",3331952,"Fver ComeBack","F-CB"
"1350",1318686,"NO! Earthspirit","BANearth"
"1351",1866518,"Electronic Avenger","EA"
"1352",2374212,"E-Sports Dream","ESD"
"1353",2414475,"We.are.young","Way"
"1354",3660104,"Team ShinJi","SJ"
"1355",2789717,"Polarity Dota 2","Polarity"
"1356",453325,"Crew!","Crew"
"1357",2073138,"Chu Chu Rocket","Chu Chu"
"1358",1059824,"Dream time.","DT"
"1359",2925060,"Quantum gamer$","QG"
"1360",3562785,"MOL","MOL"
"1361",3382336,"CulminationOfGlory","COG"
"1362",952220,"Team StarTale","Startale"
"1363",2724159,"_Oram Po_","OP"
"1364",457696,"Pro Gamers Afk","P.G.A"
"1365",3259709,"Overseer","OV"
"1366",1935849,"Men of Pauses","MoP"
"1367",3786114,"Embe n friends","ENF"
"1368",3127543,"INGAME","IG"
"1369",2870421,"Team Explosion","Exp"
"1370",2764226,"Invincible I","INVI"
"1371",1105664,"Rex Regum QEON","RR.QEON"
"1372",2920861,"2K Dogs",""
"1373",571134,"Zuckerberg and Friends","Zuckberg"
"1374",1678667,"BEER BINTANG","B&B"
"1375",1910569,"No-Cooldown","No-CD"
"1376",1560507,"yoU aRe Monster","U.R.M"
"1377",1289085,"BVD BLUE LMAO?","bvd"
"1378",3413552,"Valefor Gaming","Vfl"
"1379",1994238,"NatashaIshetParnya","NiP"
"1380",2034364,"n0GAMESENSE","NGS"
"1381",2400525,"XTROM","STX"
"1382",2485652,"Team Testerone","TT"
"1383",993779,"_Kitsune_","[KSE]"
"1384",3099469,"iNation Reborn","iNation.R"
"1385",2103577,".Thundercats.","."
"1386",1965600,"Soul","Soul"
"1387",3347214,"CLASSIC ","CLASSIC"
"1388",2833547,"ZooM","ZooM"
"1389",1744439,"BET BOYS","BB"
"1390",3154895,"REVENGE","Rv"
"1391",2452860,"eKeepo","Keepo"
"1392",3562732,"TKD.TongSENG","TONG"
"1393",2533075,"Cloud 9","C9"
"1394",2671602,"Total Mage Fucker","TMF"
"1395",3732786,"MEET YOUR MASTER","MYM"
"1396",2059672,"FireDota","Fire"
"1397",3588152,"Team Doctor","DOC"
"1398",2815436,"Synergy Cub.Reborn","S-Cub.R"
"1399",267385,"Tibunet E-Sport","Tibunet"
"1400",1370716,"God's Mercy","G M"
"1401",1496735,"Ready To Fight","R_T_F"
"1402",460316,"UrsaStroitHramm","USH"
"1403",3328958,"Black Lobsters","Black"
"1404",1732138,"xRG Gaming","xRG"
"1405",2535378,"Team FanTuan","FT"
"1406",3466947,"Mysquad","MYSQUAD"
"1407",1201616,"whut one piece","wHop"
"1408",1270365,"Repellian","RPL"
"1409",2822317,"To.be.or.not.to.be","T.0.T"
"1410",1563135,"RTK GAMING","RTK"
"1411",2829378,"Robert Is Trash","RIT"
"1412",2973432,"JEMBER SUPER GAMING","JSG"
"1413",2118259,"Morphing_Pro","Mo`Pro"
"1414",559789,"inphinity +4)","inphin+4"
"1415",2547053,"Eglite","Eglite"
"1416",1936980,"Spin To Win!","S2WIN"
"1417",2642304,"Team  Shark","TS"
"1418",3263712,"FRY.net","FRY.-"
"1419",2318015,"EhShasBi...","ESB"
"1420",1994971,"Norway.dota2","NORWAY"
"1421",1353274,"dignotoss","DNT|"
"1422",2892184,"TEAM Kana Kala Se","TEAM KKS"
"1423",1217261,"mousesportz","mouse"
"1424",2454089,"Gosugamers|","GG"
"1425",2828740,"We Are Young.Amazing","WAY.A"
"1426",2024718,"#section80.","#80"
"1427",2435340,"Absolute Control","ABC"
"1428",2224698,"O1d Boys","Old boys"
"1429",3715938,"Sanguine Sharks","SHARKS"
"1430",1835837,"Shadow_Knight","SK"
"1431",419398,"Last Resort^^","Last Re"
"1432",2967569,"Unknown Team","UNK"
"1433",2005373,"Project\DotA","Project"
"1434",2727654,"Envyus","EXL"
"1435",2098304,"SpeedFinger Gaming","SPG"
"1436",126274,"IL` VINCITORE","i`V"
"1437",1064684,"Team AbccccccbA","AbcbA"
"1438",3510168,"The Council","TC"
"1439",920301,"",""
"1440",1558694,"Aesculap Gaming Team","AGT"
"1441",2677589,"TRON.trz","TN"
"1442",1047281,"Speed Gaming International","SPG.int"
"1443",597252,"Druidz Esport","DRUIDZ"
"1444",2688562,"SandJonas","SJ"
"1445",1848465,"LaiGaming","LaiG"
"1446",1065394,"FlipSideTactics","F3.ru"
"1447",2541060,"Mental illness","MI"
"1448",1331121,"",""
"1449",3322406,"A4P","A4P"
"1450",2640824,"AD FINEM eSports","AF"
"1451",2000268,"TeamInferno","BS"
"1452",2931279,"Friendship","Friends"
"1453",2815482,"Team ~MSR~","~MSR~"
"1454",1218336,"Eternal","Eternal"
"1455",3322951,"LEVEL UP","lvlUP"
"1456",2527452,"LosGeo","LGe"
"1457",2621376,"Team AKAZI","AKZ"
"1458",1637253,"NIEZA ESPORT","NZ"
"1459",2905280,"Stupid Team","sT"
"1460",504962,"The overpowered","tOP"
"1461",2314139,"Trones.Gaming","TG"
"1462",2892145,"Will2Win","w2w"
